Cabinet,Floor,SKUsInPosition,TotalFrequency,TotalWidth_m,WidthUsed_pct
1,3,1,9225,1.92,97
5,2,1,3473,1.92,97
3,3,1,7331,1.92,97
9,2,1,2908,1.92,97
9,4,1,2808,1.92,97
9,1,1,2795,1.92,97
3,2,1,5891,1.92,97
10,1,1,1825,1.38,69.7
11,3,1,1745,1.68,84.8
11,1,1,1666,1.68,84.8
2,1,1,1480,1.44,72.7
7,2,1,1462,1.44,72.7
21,5,1,1247,1.44,72.7
1,1,1,1185,1.44,72.7
22,2,1,983,1.2,60.6
20,2,1,1154,1.4,70.7
12,4,1,942,1.2,60.6
10,4,1,1842,1.96,99
12,5,1,920,1.2,60.6
22,5,1,920,1.2,60.6
15,2,1,911,1.2,60.6
15,4,1,863,1.2,60.6
4,4,1,5335,1.92,97
21,3,1,1655,1.96,99
15,1,1,808,1.2,60.6
15,5,1,805,1.2,60.6
3,5,1,1910,1.92,97
2,5,1,1907,1.92,97
10,3,1,1873,1.92,97
19,2,2,1327,1.84,92.9
16,1,1,720,1.2,60.6
2,3,1,5158,1.92,97
6,2,2,943,1.92,97
6,4,2,943,1.92,97
5,4,1,3352,1.9,96
11,5,1,1656,1.92,97
14,3,1,667,1.2,60.6
15,3,2,1121,1.92,97
23,3,2,1221,1.92,97
21,1,1,1255,1.96,99
5,5,1,3065,1.6,80.8
14,2,2,1196,1.92,97
20,3,1,1229,1.96,99
12,3,1,1524,1.92,97
21,2,1,1502,1.92,97
7,1,2,1177,1.92,97
4,1,1,4344,1.8,90.9
4,2,1,8486,1.68,84.8
23,4,2,1091,1.92,97
14,4,2,1091,1.92,97
4,3,1,1370,1.92,97
5,3,1,1060,1.92,97
12,1,2,953,1.92,97
12,2,1,1154,1.68,84.8
2,4,1,3439,1.92,97
20,5,1,914,1.96,99
2,2,1,3435,1.92,97
19,3,1,897,1.96,99
5,1,1,3319,1.68,84.8
17,1,2,929,1.92,97
24,4,2,876,1.92,97
22,3,1,1067,1.92,97
24,5,2,850,1.92,97
13,3,2,824,1.92,97
13,4,2,806,1.8,90.9
1,4,1,3051,1.92,97
22,4,1,925,1.92,97
16,2,1,739,1.68,84.8
7,3,1,1822,1.68,84.8
19,1,1,685,1.68,84.8
4,5,1,4104,1.8,90.9
16,3,1,792,1.68,84.8
19,5,1,611,1.68,84.8
6,3,1,732,1.68,84.8
7,5,1,581,1.68,84.8
8,1,1,2142,1.68,84.8
3,4,1,4127,1.92,97
1,2,1,2061,1.92,97
3,1,1,2061,1.92,97
7,4,1,675,1.6,80.8
9,5,1,2671,1.71,86.4
8,5,1,1912,1.92,97
8,3,1,2597,1.71,86.4
6,1,1,635,1.68,84.8
6,5,1,633,1.68,84.8
16,5,1,631,1.68,84.8
10,2,1,618,1.26,63.6
11,2,1,618,1.26,63.6
11,4,1,599,1.68,84.8
10,5,1,1765,1.71,86.4
23,2,1,572,1.44,72.7
23,5,1,568,1.44,72.7
24,3,1,455,1.4,70.7
14,1,1,560,1.44,72.7
14,5,1,537,1.44,72.7
17,3,1,532,1.44,72.7
20,4,1,524,1.44,72.7
19,4,1,523,1.68,84.8
13,2,1,411,1.4,70.7
9,3,1,3042,1.68,84.8
17,2,1,507,1.65,83.3
13,1,1,403,1.4,70.7
17,4,1,492,1.44,72.7
8,2,1,2428,1.8,90.9
22,1,1,476,1.44,72.7
23,1,1,476,1.44,72.7
17,5,1,462,1.44,72.7
18,5,1,368,1.4,70.7
18,3,1,446,1.68,84.8
18,2,1,446,1.68,84.8
24,2,1,442,1.44,72.7
16,4,1,440,1.44,72.7
24,1,1,432,1.44,72.7
1,5,1,3830,1.6,80.8
21,4,1,1267,1.92,97
18,4,1,416,1.44,72.7
8,4,1,2280,1.68,84.8
13,5,1,371,1.75,88.4
20,1,1,1131,1.92,97
18,1,1,371,1.2,60.6
